p_k,country_id,ext_int,imp_exp,month,trade_value
2695,DK,INTRA,EXPORT,d2022_05,5464721482
2696,DK,WORLD,IMPORT,d2022_05,10489026079
2697,DK,WORLD,EXPORT,d2022_05,10169021452
2698,EE,EXTRA,IMPORT,d2022_05,512383219
2699,EE,EXTRA,EXPORT,d2022_05,649802428
2700,EE,INTRA,IMPORT,d2022_05,1714080174
2701,EE,INTRA,EXPORT,d2022_05,1279721528
2702,EE,WORLD,IMPORT,d2022_05,2226463393
2703,EE,WORLD,EXPORT,d2022_05,1929523956
2704,ES,EXTRA,IMPORT,d2022_05,20492129232
2705,ES,EXTRA,EXPORT,d2022_05,13494600439
2706,ES,INTRA,IMPORT,d2022_05,20001195027
2707,ES,INTRA,EXPORT,d2022_05,21855519775
2708,ES,WORLD,IMPORT,d2022_05,40493324259
2709,ES,WORLD,EXPORT,d2022_05,35350120214
2710,EU,EXTRA,IMPORT,d2022_05,258568448273
2711,EU,EXTRA,EXPORT,d2022_05,221205134644
2712,EU,INTRA,IMPORT,d2022_05,357495671359
2713,EU,INTRA,EXPORT,d2022_05,366215845149
2714,FI,EXTRA,IMPORT,d2022_05,2964847253
2715,FI,EXTRA,EXPORT,d2022_05,3038092490
2716,FI,INTRA,IMPORT,d2022_05,5304053166
2717,FI,INTRA,EXPORT,d2022_05,4015159444
2718,FI,WORLD,IMPORT,d2022_05,8268900419
2719,FI,WORLD,EXPORT,d2022_05,7053251934
2720,FR,EXTRA,IMPORT,d2022_05,25533614377
2721,FR,EXTRA,EXPORT,d2022_05,20429423328
2722,FR,INTRA,IMPORT,d2022_05,40758586415
2723,FR,INTRA,EXPORT,d2022_05,28328291867
2724,FR,WORLD,IMPORT,d2022_05,66292200792
2725,FR,WORLD,EXPORT,d2022_05,48757715195
2726,GR,EXTRA,IMPORT,d2022_05,4657907227
2727,GR,EXTRA,EXPORT,d2022_05,2212389666
2728,GR,INTRA,IMPORT,d2022_05,3436237733
2729,GR,INTRA,EXPORT,d2022_05,2592647610
2730,GR,WORLD,IMPORT,d2022_05,8094144960
2731,GR,WORLD,EXPORT,d2022_05,4805037276
2732,HR,EXTRA,IMPORT,d2022_05,1059772145
2733,HR,EXTRA,EXPORT,d2022_05,641697180
2734,HR,INTRA,IMPORT,d2022_05,2537081516
2735,HR,INTRA,EXPORT,d2022_05,1406305842
2736,HR,WORLD,IMPORT,d2022_05,3596853661
2737,HR,WORLD,EXPORT,d2022_05,2048003022
2738,HU,EXTRA,IMPORT,d2022_05,3734846573
2739,HU,EXTRA,EXPORT,d2022_05,2719607748
2740,HU,INTRA,IMPORT,d2022_05,8992995809
2741,HU,INTRA,EXPORT,d2022_05,9535363013
2742,HU,WORLD,IMPORT,d2022_05,12727842382
2743,HU,WORLD,EXPORT,d2022_05,12254970761
2744,IE,EXTRA,IMPORT,d2022_05,8953597676
2745,IE,EXTRA,EXPORT,d2022_05,11228952102
2746,IE,INTRA,IMPORT,d2022_05,4122396932
2747,IE,INTRA,EXPORT,d2022_05,6255941028
2748,IE,WORLD,IMPORT,d2022_05,13075994608
2749,IE,WORLD,EXPORT,d2022_05,17484893130
2750,IT,EXTRA,IMPORT,d2022_05,26463955256
2751,IT,EXTRA,EXPORT,d2022_05,26206051119
2752,IT,INTRA,IMPORT,d2022_05,30168181540
2753,IT,INTRA,EXPORT,d2022_05,30363933773
2754,IT,WORLD,IMPORT,d2022_05,56632136796
2755,IT,WORLD,EXPORT,d2022_05,56569984892
2756,LT,EXTRA,IMPORT,d2022_05,1291981587
2757,LT,EXTRA,EXPORT,d2022_05,1149210734
2758,LT,INTRA,IMPORT,d2022_05,2712039505
2759,LT,INTRA,EXPORT,d2022_05,2336471109
2760,LT,WORLD,IMPORT,d2022_05,4004021092
2761,LT,WORLD,EXPORT,d2022_05,3485681843
2762,LU,EXTRA,IMPORT,d2022_05,174682739
2763,LU,EXTRA,EXPORT,d2022_05,272750407
2764,LU,INTRA,IMPORT,d2022_05,1945884763
2765,LU,INTRA,EXPORT,d2022_05,1163376844
2766,LU,WORLD,IMPORT,d2022_05,2120567502
2767,LU,WORLD,EXPORT,d2022_05,1436127251
2768,LV,EXTRA,IMPORT,d2022_05,614948773
2769,LV,EXTRA,EXPORT,d2022_05,647496916
2770,LV,INTRA,IMPORT,d2022_05,1883784978
2771,LV,INTRA,EXPORT,d2022_05,1260687272
2772,LV,WORLD,IMPORT,d2022_05,2498733751
2773,LV,WORLD,EXPORT,d2022_05,1908184188
2774,MT,EXTRA,IMPORT,d2022_05,300213956
2775,MT,EXTRA,EXPORT,d2022_05,113229250
2776,MT,INTRA,IMPORT,d2022_05,429380835
2777,MT,INTRA,EXPORT,d2022_05,127764419
2778,MT,WORLD,IMPORT,d2022_05,729594791
2779,MT,WORLD,EXPORT,d2022_05,240993669
2780,NL,EXTRA,IMPORT,d2022_05,45955363550
2781,NL,EXTRA,EXPORT,d2022_05,23304442231
2782,NL,INTRA,IMPORT,d2022_05,28631989891
2783,NL,INTRA,EXPORT,d2022_05,54744391253
2784,NL,WORLD,IMPORT,d2022_05,74587353441
2785,NL,WORLD,EXPORT,d2022_05,78048833484
2786,PL,EXTRA,IMPORT,d2022_05,9926418392
2787,PL,EXTRA,EXPORT,d2022_05,6856884311
2788,PL,INTRA,IMPORT,d2022_05,20407084597
2789,PL,INTRA,EXPORT,d2022_05,22399484584
2790,PL,WORLD,IMPORT,d2022_05,30333502989
2791,PL,WORLD,EXPORT,d2022_05,29256368895
2792,PT,EXTRA,IMPORT,d2022_05,3161333430
2793,PT,EXTRA,EXPORT,d2022_05,2474186742
2794,PT,INTRA,IMPORT,d2022_05,6707604268
2795,PT,INTRA,EXPORT,d2022_05,4998732015
2796,PT,WORLD,IMPORT,d2022_05,9868937698
2797,PT,WORLD,EXPORT,d2022_05,7472918757
2798,RO,EXTRA,IMPORT,d2022_05,3104275954
2799,RO,EXTRA,EXPORT,d2022_05,2068795408
2800,RO,INTRA,IMPORT,d2022_05,7626748692
2801,RO,INTRA,EXPORT,d2022_05,5925931176
2802,RO,WORLD,IMPORT,d2022_05,10731024646
2803,RO,WORLD,EXPORT,d2022_05,7994726584
2804,SE,EXTRA,IMPORT,d2022_05,6225146434
2805,SE,EXTRA,EXPORT,d2022_05,7572140119
2806,SE,INTRA,IMPORT,d2022_05,10676374896
2807,SE,INTRA,EXPORT,d2022_05,8826294807
2808,SE,WORLD,IMPORT,d2022_05,16901521330
2809,SE,WORLD,EXPORT,d2022_05,16398434926
2810,SI,EXTRA,IMPORT,d2022_05,3064747449
2811,SI,EXTRA,EXPORT,d2022_05,2177164601
2812,SI,INTRA,IMPORT,d2022_05,2964447274
2813,SI,INTRA,EXPORT,d2022_05,3579912988
2814,SI,WORLD,IMPORT,d2022_05,6029194723
2815,SI,WORLD,EXPORT,d2022_05,5757077589
2816,SK,EXTRA,IMPORT,d2022_05,2233371860
2817,SK,EXTRA,EXPORT,d2022_05,1761426542
2818,SK,INTRA,IMPORT,d2022_05,7192724129
2819,SK,INTRA,EXPORT,d2022_05,7386551744
2820,SK,WORLD,IMPORT,d2022_05,9426095989
2821,SK,WORLD,EXPORT,d2022_05,9147978286
2822,AT,EXTRA,IMPORT,d2022_06,4044878293
2823,AT,EXTRA,EXPORT,d2022_06,5317210657
2824,AT,INTRA,IMPORT,d2022_06,14198626701
2825,AT,INTRA,EXPORT,d2022_06,12009817234
2826,AT,WORLD,IMPORT,d2022_06,18243504994
2827,AT,WORLD,EXPORT,d2022_06,17327027891
2828,BE,EXTRA,IMPORT,d2022_06,20853732844
2829,BE,EXTRA,EXPORT,d2022_06,15827086274
2830,BE,INTRA,IMPORT,d2022_06,28949836630
2831,BE,INTRA,EXPORT,d2022_06,35494638034
2832,BE,WORLD,IMPORT,d2022_06,49803569474
2833,BE,WORLD,EXPORT,d2022_06,51321724308
2834,BG,EXTRA,IMPORT,d2022_06,2385017361
2835,BG,EXTRA,EXPORT,d2022_06,1638776132
